stationName,time,TRITIUM(pCi/L),MDL,PQL
HSB143D,1991-03-04,13000,,
HSB143D,1991-04-12,19300,,
HSB143D,1991-07-29,10600,,
HSB143D,1991-10-11,16700,,700
HSB143D,1992-01-15,12500,,700
HSB143D,1992-04-24,12900,,700
HSB143D,1992-07-21,10500,,700
HSB143D,1992-11-06,10400,,700
HSB143D,1993-01-25,14000,,700
HSB143D,1993-04-21,11700,,700
HSB143D,1993-07-07,9720,,700
HSB143D,1993-10-15,9770,,700
HSB143D,1994-01-24,8300,,700
HSB143D,1994-04-29,9740,,700
HSB143D,1994-07-18,9880,,700
HSB143D,1994-10-14,10900,,623
HSB143D,1995-01-19,11400,,604
HSB143D,1995-04-05,10100,,583
HSB143D,1995-07-06,12100,,877
HSB143D,1995-10-20,10000,,727
HSB143D,1996-01-23,10900,,884
HSB143D,1996-04-17,9940,,439
HSB143D,1996-07-15,10800,,619
HSB143D,1996-10-24,11400,,593
HSB143D,1997-01-24,9560,,604
HSB143D,1997-04-17,9580,,634
HSB143D,1997-04-17,9200,,633
HSB143D,1997-07-14,8930,,617
HSB143D,1997-10-02,8700,,588
HSB143D,1998-01-28,12920,,740
HSB143D,1998-01-28,11400,,687
HSB143D,1998-01-28,12400,,730
HSB143D,1998-01-28,10900,,689
HSB143D,1998-04-15,9940,,687
HSB143D,1998-07-14,7070,,700
HSB143D,1998-10-05,9070,525,1611
HSB143D,1999-01-19,6150,633,1787
HSB143D,1999-04-20,8320,661,1980
HSB143D,1999-07-16,6490,576,1690
HSB143D,1999-10-06,5790,543,1560
HSB143D,2000-01-25,6840,545,1670
HSB143D,2000-04-25,7820,541,1879
HSB143D,2000-08-19,8010,607,1857
HSB143D,2000-10-16,8120,616,1876
HSB143D,2000-10-16,8050,618,1876
HSB143D,2001-02-01,7240,629,1871
HSB143D,2001-04-12,8630,717,2139
HSB143D,2001-08-13,7130,436,1450
HSB143D,2001-10-05,6910,400,1304
HSB143D,2001-12-06,6550,260,944
HSB143D,2002-02-23,6960,242,938
HSB143D,2002-04-25,6810,407,1293
HSB143D,2002-08-05,7240,575,1789
HSB143D,2002-10-30,6280,617,1833
HSB143D,2003-02-04,13400,570,2126
HSB143D,2003-02-24,6430,597,1787
HSB143D,2003-04-24,11600,361,1505
HSB143D,2003-07-23,25400,636,2796
HSB143D,2003-08-04,8970,431,1700
HSB143D,2003-11-12,8400,292,1280
HSB143D,2004-03-01,8100,346,1350
HSB143D,2004-04-29,6004.81,796.43,2161.57
HSB143D,2004-07-29,6090,822,2220
HSB143D,2004-10-20,6470,827,2250
HSB143D,2005-03-02,6040,813,2220
HSB143D,2005-04-21,6180,892,2390
HSB143D,2005-07-21,7170,876,2410
HSB143D,2005-11-01,5790,996,2560
HSB143D,2006-01-19,14400,525,2350
HSB143D,2006-05-04,5490,657,2310
HSB143D,2006-07-25,5010,340,1160
HSB143D,2006-11-01,5240,844,2230
HSB143D,2007-07-26,5070,440,1370
